time,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,boundary_layer_height
2025-02-18T00:00,19.8,64,4.4,325,0.0,990.6,95.0
2025-02-18T01:00,19.2,65,4.4,341,0.0,989.8,105.0
2025-02-18T02:00,18.0,67,5.1,10,0.0,989.1,95.0
2025-02-18T03:00,18.2,63,6.9,25,0.0,988.6,110.0
2025-02-18T04:00,17.1,69,4.6,9,0.0,988.4,95.0
2025-02-18T05:00,17.2,70,1.8,336,0.0,988.3,60.0
2025-02-18T06:00,17.0,74,1.1,279,0.0,989.3,35.0
2025-02-18T07:00,16.8,75,3.2,251,0.0,989.9,35.0
2025-02-18T08:00,18.9,65,5.1,264,0.0,990.5,65.0
2025-02-18T09:00,19.8,62,5.9,258,0.0,991.4,95.0
2025-02-18T10:00,21.0,58,7.1,254,0.0,992.3,215.0
2025-02-18T11:00,22.0,53,9.6,258,0.0,992.4,385.0
2025-02-18T12:00,23.3,45,6.7,275,0.0,991.5,575.0
2025-02-18T13:00,24.8,35,6.4,288,0.0,990.2,890.0
2025-02-18T14:00,26.3,29,7.8,289,0.0,989.1,1185.0
2025-02-18T15:00,26.4,27,9.0,290,0.0,988.6,1270.0
2025-02-18T16:00,25.9,26,8.6,286,0.0,988.4,1095.0
2025-02-18T17:00,24.8,30,7.1,286,0.0,988.5,525.0
2025-02-18T18:00,23.4,36,5.1,309,0.0,989.0,215.0
2025-02-18T19:00,22.0,46,4.2,306,0.0,989.3,150.0
2025-02-18T20:00,21.3,52,3.9,317,0.0,989.7,130.0
2025-02-18T21:00,20.8,55,3.1,306,0.0,989.8,75.0
2025-02-18T22:00,19.9,56,5.0,322,0.0,990.0,105.0
2025-02-18T23:00,18.9,59,4.9,321,0.0,989.6,100.0
2025-02-19T00:00,17.9,61,4.9,294,0.0,989.1,80.0
2025-02-19T01:00,17.0,63,5.1,287,0.0,988.7,75.0
2025-02-19T02:00,16.1,66,4.8,281,0.0,988.3,65.0
2025-02-19T03:00,15.6,68,5.1,280,0.0,987.8,65.0
2025-02-19T04:00,15.1,69,5.1,288,0.0,987.5,75.0
2025-02-19T05:00,14.7,69,5.2,284,0.0,987.7,70.0
2025-02-19T06:00,14.1,76,5.1,274,0.0,988.6,70.0
2025-02-19T07:00,14.3,75,6.1,268,0.0,989.2,65.0
2025-02-19T08:00,16.0,68,5.9,272,0.0,989.8,90.0
2025-02-19T09:00,19.2,56,4.1,268,0.0,990.7,155.0
2025-02-19T10:00,21.9,45,4.5,268,0.0,990.7,290.0
